condition,noise_sigma_m,delay_ms,trials,latency_enter_s_mean,latency_enter_s_sd,latency_exit_s_mean,latency_exit_s_sd,recovery_time_s_mean,recovery_time_s_sd,false_trigger_rate_per_min_mean,false_trigger_rate_per_min_sd,extra_switches_mean,extra_switches_sd,mean_abs_command_change_mean,mean_abs_command_change_sd,invalid_sample_count_mean,invalid_sample_count_sd
C0,0.01,0,5,0.0028571428571426694,0.0,2.8571428571428577,0.0,2.8571428571428577,0.0,2.997002997002997,0.0,0.0,0.0,0.0012,0.0,0.0,0.0
C1,0.01,0,5,0.018857142857142507,0.026076809620810413,0.029142857142857536,0.010954451150103088,0.18057142857142824,0.05863759329081272,8.391608391608392,5.764850368133271,12.4,2.6076809620810595,0.008639999999999998,0.0015646085772486357,0.0,0.0
C2,0.01,0,5,0.4068571428571424,0.043358966777357455,0.45314285714285774,0.035777087639996666,0.4542857142857146,0.03522522287410857,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0
C3,0.01,0,5,0.042857142857142524,0.024494897427831622,0.08914285714285733,0.04147288270665546,0.10914285714285761,0.017888543819997937,1.7982017982017982,1.6415261463691293,1.6,0.8944271909999159,0.004649440253127468,6.299767588840451e-05,0.0,0.0
