trial_id,condition,seed,time_s,sensor_time_s,sample_age_s,true_distance_m,raw_distance_m,filtered_distance_m,expected_state,state,command,valid,event_label,invalid_reason,noise_sigma_m,delay_ms
C1_n0.01_d000_r04,C1,202611,0.0,0.0,0.0,0.6,0.5911970786246751,0.5911970786246751,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.02,0.02,0.0,0.6,0.6034101865502493,0.5942503556060686,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.04,0.04,0.0,0.6,0.6086099787015918,0.5978402613799494,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.06,0.06,0.0,0.6,0.6078980158324767,0.6003546999930812,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.08,0.08,0.0,0.6,0.6107045678055807,0.6029421669462061,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.1,0.1,0.0,0.6,0.6032762035621401,0.6030256761001895,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.12,0.12,0.0,0.6,0.6138762411855521,0.6057383173715302,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.14,0.14,0.0,0.6,0.5916904493362963,0.6022263503627218,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.16,0.16,0.0,0.6,0.5898145825941504,0.5991234084205789,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.18,0.18,0.0,0.6,0.5953155688970225,0.5981714485396898,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.2,0.2,0.0,0.6,0.5963492907550182,0.5977159090935219,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.22,0.22,0.0,0.6,0.6154800797429522,0.6021569517558795,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.24,0.24,0.0,0.6,0.6080079918238611,0.6036197117728749,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.26,0.26,0.0,0.6,0.6107175670792159,0.6053941755994601,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.28,0.28,0.0,0.6,0.603398162336308,0.6048951722836721,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.3,0.3,0.0,0.6,0.597882469076525,0.6031419964818853,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.32,0.32,0.0,0.6,0.5939640390620474,0.6008475071269258,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.34,0.34,0.0,0.6,0.6031913400519382,0.601433465358179,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.36,0.36,0.0,0.6,0.5989268729191534,0.6008068172484226,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.38,0.38,0.0,0.6,0.600694405896005,0.6007787144103182,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.4,0.4,0.0,0.6,0.5897524042653591,0.5980221368740785,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.42,0.42,0.0,0.6,0.6001897327066257,0.5985640358322153,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.44,0.44,0.0,0.6,0.600226199514856,0.5989795767528755,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.46,0.46,0.0,0.6,0.6113166126638059,0.6020638357306081,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.48,0.48,0.0,0.6,0.6014915756002105,0.6019207706980086,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.5,0.5,0.0,0.6,0.599948117911744,0.6014276075014424,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.52,0.52,0.0,0.6,0.5944531199755231,0.5996839856199626,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r04,C1,202611,0.54,0.54,0.0,0.6,0.5997899829280237,0.5997104849469779,FAR,FAR,0.0,1,,,0.01,0
