trial_id,condition,seed,time_s,sensor_time_s,sample_age_s,true_distance_m,raw_distance_m,filtered_distance_m,expected_state,state,command,valid,event_label,invalid_reason,noise_sigma_m,delay_ms
C1_n0.01_d000_r01,C1,202608,0.0,0.0,0.0,0.6,0.6148427342749978,0.6148427342749978,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.02,0.02,0.0,0.6,0.5992214626920266,0.610937416379255,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.04,0.04,0.0,0.6,0.6151692451050658,0.6119953735607078,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.06,0.06,0.0,0.6,0.5969540045520597,0.6082350313085457,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.08,0.08,0.0,0.6,0.6153105775183699,0.6100039178610018,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.1,0.1,0.0,0.6,0.578347497202231,0.6020898126963091,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.12,0.12,0.0,0.6,0.5945497932918873,0.6002048078452036,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.14,0.14,0.0,0.6,0.6184257039191675,0.6047600318636945,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.16,0.16,0.0,0.6,0.5915299517587534,0.6014525118374593,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.18,0.18,0.0,0.6,0.6010739365744234,0.6013578680217003,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.2,0.2,0.0,0.6,0.6077298309711101,0.6029508587590527,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.22,0.22,0.0,0.6,0.5970732469953571,0.6014814558181288,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.24,0.24,0.0,0.6,0.5970423898587434,0.6003716893282824,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.26,0.26,0.0,0.6,0.6043463739223671,0.6013653604768037,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.28,0.28,0.0,0.6,0.5993977057192522,0.6008734467874158,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.3,0.3,0.0,0.6,0.5760832221899234,0.5946758906380427,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.32,0.32,0.0,0.6,0.6010187135006598,0.596261596353697,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.34,0.34,0.0,0.6,0.5930588007138485,0.5954608974437349,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.36,0.36,0.0,0.6,0.5688242401198228,0.5888017331127569,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.38,0.38,0.0,0.6,0.5911199139645097,0.5893812783256951,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.4,0.4,0.0,0.6,0.6075541439845358,0.5939244947404052,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.42,0.42,0.0,0.6,0.6057245325465526,0.5968745041919421,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.44,0.44,0.0,0.6,0.6026787568312284,0.5983255673517637,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.46,0.46,0.0,0.6,0.595326022079841,0.597575681033783,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.48,0.48,0.0,0.6,0.5992272981721882,0.5979885853183843,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.5,0.5,0.0,0.6,0.6021852359231639,0.5990377479695792,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.52,0.52,0.0,0.6,0.5964112784192513,0.5983811305819973,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.54,0.54,0.0,0.6,0.5968797641008887,0.5980057889617201,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.56,0.56,0.0,0.6,0.6055922972513419,0.5999024160341255,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.58,0.58,0.0,0.6,0.5941983022391099,0.5984763875853716,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.6,0.6,0.0,0.6,0.5791678643579959,0.5936492567785276,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.62,0.62,0.0,0.6,0.5986019582778581,0.5948874321533603,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.64,0.64,0.0,0.6,0.6113965647405851,0.5990147153001665,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.66,0.66,0.0,0.6,0.6080335801762433,0.6012694315191857,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.68,0.68,0.0,0.6,0.5949473726526903,0.5996889168025619,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.7,0.7,0.0,0.6,0.5911973715824291,0.5975660304975287,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.72,0.72,0.0,0.6,0.5892949934385195,0.5954982712327764,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.74,0.74,0.0,0.6,0.5995260167997107,0.5965052076245101,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.76,0.76,0.0,0.6,0.6131810236795583,0.6006741616382721,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.78,0.78,0.0,0.6,0.5981298376201448,0.6000380806337403,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.8,0.8,0.0,0.6,0.6080130277946524,0.6020318174239684,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.82,0.82,0.0,0.6,0.5994175784401046,0.6013782576780025,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.84,0.84,0.0,0.6,0.5850072213215358,0.5972854985888858,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.86,0.86,0.0,0.6,0.5996851684361832,0.5978854160507101,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.88,0.88,0.0,0.6,0.5848554678185487,0.5946279289926697,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.9,0.9,0.0,0.6,0.6125777471321544,0.5991153835275409,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.92,0.92,0.0,0.6,0.5968529473916107,0.5985497744935584,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r01,C1,202608,0.94,0.94,0.0,0.6,0.594561565863139,0.5975527223359536,FAR,FAR,0.0,1,,,0.01,0
