trial_id,condition,seed,time_s,sensor_time_s,sample_age_s,true_distance_m,raw_distance_m,filtered_distance_m,expected_state,state,command,valid,event_label,invalid_reason,noise_sigma_m,delay_ms
C1_n0.01_d000_r02,C1,202609,0.0,0.0,0.0,0.6,0.5983064938375089,0.5983064938375089,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.02,0.02,0.0,0.6,0.6066701442177622,0.6003974064325722,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.04,0.04,0.0,0.6,0.5792034788410844,0.5950989245347003,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.06,0.06,0.0,0.6,0.6074285023143041,0.5981813189796013,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.08,0.08,0.0,0.6,0.6055507272921608,0.6000236710577411,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.1,0.1,0.0,0.6,0.5970493147735334,0.5992800819866893,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.12,0.12,0.0,0.6,0.5968997487880502,0.5986849986870295,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.14,0.14,0.0,0.6,0.5925738447170081,0.5971572101945242,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.16,0.16,0.0,0.6,0.5748789610108378,0.5915876478986026,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.18,0.18,0.0,0.6,0.6086709849584806,0.5958584821635722,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.2,0.2,0.0,0.6,0.5899448090828434,0.59438006389339,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.22,0.22,0.0,0.6,0.5938030103304746,0.5942358005026611,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.24,0.24,0.0,0.6,0.5926151203939878,0.5938306304754928,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.26,0.26,0.0,0.6,0.5935990268262678,0.5937727295631865,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.28,0.28,0.0,0.6,0.6034897103731611,0.5962019747656802,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.3,0.3,0.0,0.6,0.5899696031836814,0.5946438818701805,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.32,0.32,0.0,0.6,0.5989695834436173,0.5957253072635397,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.34,0.34,0.0,0.6,0.6038643727297985,0.5977600736301043,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.36,0.36,0.0,0.6,0.6134222116776249,0.6016756081419845,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.38,0.38,0.0,0.6,0.5986599629311652,0.6009216968392797,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.4,0.4,0.0,0.6,0.5832945716329293,0.5965149155376921,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.42,0.42,0.0,0.6,0.5970745948339118,0.596654835361747,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.44,0.44,0.0,0.6,0.590689814829373,0.5951635802286536,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.46,0.46,0.0,0.6,0.607020610820159,0.59812783787653,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.48,0.48,0.0,0.6,0.6144544389766021,0.6022094881515481,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.5,0.5,0.0,0.6,0.6151193380717797,0.605436950631606,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.52,0.52,0.0,0.6,0.5858833111739715,0.6005485407671973,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.54,0.54,0.0,0.6,0.5871409032326179,0.5971966313835525,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.56,0.56,0.0,0.6,0.6028777428975832,0.5986169092620602,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.58,0.58,0.0,0.6,0.612127019717509,0.6019944368759225,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.6,0.6,0.0,0.6,0.5983765636763546,0.6010899685760305,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.62,0.62,0.0,0.6,0.5938878646614025,0.5992894425973735,FAR,FAR,0.0,1,,,0.01,0
C1_n0.01_d000_r02,C1,202609,0.64,0.64,0.0,0.6,0.6017098501668741,0.5998945444897485,FAR,FAR,0.0,1,,,0.01,0
