trial_id,condition,seed,time_s,sensor_time_s,sample_age_s,true_distance_m,raw_distance_m,filtered_distance_m,expected_state,state,command,valid,event_label,invalid_reason,noise_sigma_m,delay_ms
C2_n0.03_d300_r03,C2,202645,0.0,0.0,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.02,0.02,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.04,0.04,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.06,0.06,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.08,0.08,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.1,0.1,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.12,0.12,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.14,0.14,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.16,0.16,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.18,0.18,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.2,0.2,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.22,0.22,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.24,0.24,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.26,0.26,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.28,0.28,nan,0.6,,,FAR,FAR,0.0,0,INVALID,MISSING_OR_DELAY_BUFFER,0.03,300
C2_n0.03_d300_r03,C2,202645,0.3,0.0,0.3,0.6,0.5892835856907471,0.5892835856907471,FAR,FAR,0.0,1,,,0.03,300
C2_n0.03_d300_r03,C2,202645,0.32,0.02,0.3,0.6,0.584605911506822,0.5881141671447658,FAR,FAR,0.0,1,,,0.03,300
C2_n0.03_d300_r03,C2,202645,0.34,0.04,0.30000000000000004,0.6,0.5798896039128291,0.5860580263367816,FAR,FAR,0.0,1,,,0.03,300
C2_n0.03_d300_r03,C2,202645,0.36,0.06,0.3,0.6,0.6453937906192856,0.6008919674074076,FAR,FAR,0.0,1,,,0.03,300
C2_n0.03_d300_r03,C2,202645,0.38,0.08,0.3,0.6,0.5860037732365784,0.5971699188647003,FAR,FAR,0.0,1,,,0.03,300
C2_n0.03_d300_r03,C2,202645,0.4,0.1,0.30000000000000004,0.6,0.6055169695471464,0.5992566815353118,FAR,FAR,0.0,1,,,0.03,300
C2_n0.03_d300_r03,C2,202645,0.42,0.12,0.3,0.6,0.5844396694584213,0.5955524285160891,FAR,FAR,0.0,1,,,0.03,300
C2_n0.03_d300_r03,C2,202645,0.44,0.14,0.3,0.6,0.5530394377899214,0.5849241808345472,FAR,FAR,0.0,1,,,0.03,300
C2_n0.03_d300_r03,C2,202645,0.46,0.16,0.30000000000000004,0.6,0.6184631463439904,0.593308922211908,FAR,FAR,0.0,1,,,0.03,300
C2_n0.03_d300_r03,C2,202645,0.48,0.18,0.3,0.6,0.5928718650680753,0.5931996579259498,FAR,FAR,0.0,1,,,0.03,300
C2_n0.03_d300_r03,C2,202645,0.5,0.2,0.3,0.6,0.6207776644127538,0.6000941595476508,FAR,FAR,0.0,1,,,0.03,300
