trial_id,condition,seed,time_s,sensor_time_s,sample_age_s,true_distance_m,raw_distance_m,filtered_distance_m,expected_state,state,command,valid,event_label,invalid_reason,noise_sigma_m,delay_ms
C2_n0.03_d000_r04,C2,202636,0.0,0.0,0.0,0.6,0.6093657114227862,0.6093657114227862,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.02,0.02,0.0,0.6,0.5529359209940555,0.5952582638156035,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.04,0.04,0.0,0.6,0.6267317722129526,0.6031266409149408,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.06,0.06,0.0,0.6,0.5813294937643191,0.5976773541272854,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.08,0.08,0.0,0.6,0.6056446826274786,0.5996691862523338,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.1,0.1,0.0,0.6,0.6254944459400392,0.6061255011742601,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.12,0.12,0.0,0.6,0.6068168390125607,0.6062983356338353,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.14,0.14,0.0,0.6,0.6204147169853839,0.6098274309717224,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.16,0.16,0.0,0.6,0.6154861411814788,0.6112421085241615,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.18,0.18,0.0,0.6,0.6703446764535159,0.6260177505065001,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.2,0.2,0.0,0.6,0.5763037695733967,0.6135892552732243,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.22,0.22,0.0,0.6,0.6533109796189426,0.6235196863596538,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.24,0.24,0.0,0.6,0.541801585993893,0.6030901612682136,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.26,0.26,0.0,0.6,0.6382301925885494,0.6118751690982975,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.28,0.28,0.0,0.6,0.5549344702389226,0.5976399943834538,FAR,FAR,0.0,1,,,0.03,0
C2_n0.03_d000_r04,C2,202636,0.3,0.3,0.0,0.6,0.6259965763747487,0.6047291398812775,FAR,FAR,0.0,1,,,0.03,0
